Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cameroon,,,,,,,,,,,0.6456916012,-2.6373098907,-5.8412457618,12.3968042521,6.5535361406,-10.0160269014,-0.5801612364,38.6477888776,-4.3745106324,-21.4401148096,17.6095648438,25.9056507297,1.1850257006,-1.7667409117,8.4394874957,24.2266419794,-10.3459869022,-8.1153582943,-12.3888808438,-10.0991667755,-3.3200928936,-13.4961215835,-1.2020307342,-1.374484817,-0.369741265,1.1521739326,1.7007451795,7.7743390115,1.9817435946,-6.1432796999,2.5517001529,2.018196403,7.0860640549,2.2447484889,-3.1480131953,4.9474076578,-0.7720306142,-3.8374810978,8.1276985787,0.1971884964
"Congo, Rep.",,,,,,,,,,,4.7156693837,-2.3148014235,4.0749706517,-11.0126225693,-0.2387419176,-8.6331262387,-11.1509079411,-7.9514403261,-7.2613981099,17.1414014469,15.3100238625,37.9793844671,-10.9785693198,4.6984163097,-8.9916358494,-1.5498590832,-0.045359385,-28.3493767285,-10.3249982053,1.0837402291,9.6187321683,9.5158175288,-55.1642763427,66.7896805168,-80.214672874,-59.6287453893,316.0234754477,106.3667424686,-56.4043973974,-110.3446665832,-866.3086444605,107.8324707897,10.024386961,-38.8866833835,-161.6188063438,117.459732963,-165.1062235158,72.0089067303,48.5467362643,-41.7556408615
Colombia,,,,,,,,,,,2.13948648,6.6085555419,6.0837738483,-1.1470028301,-0.1363050241,6.7333494298,5.6301166642,6.4382586814,-0.9627095878,2.2472963661,-3.3370556245,-3.3149224339,-1.366398059,1.3114288334,-0.9697264881,10.4388846234,-3.2627230249,3.6072218662,-0.7681118657,-1.5929439582,5.6180765133,4.9003015766,2.7471177749,6.7676979938,2.5039972335,-2.0468589442,1.4519568979,-2.8729240191,-9.5147806908,3.0773072022,1.3640173222,2.1532276154,1.3413309852,5.7898829793,4.4271493067,5.9749887499,7.6747178704,0.8033625962,2.6696547207,2.4795337066
Comoros,,,,,,,,,,,,,,,,,,,,,0.3273614994,2.9283700375,3.978341348,-3.1913222533,0.9745374056,0.5628568085,-2.3518214867,-0.2090077649,-4.3285213724,-0.0870111611,-8.6722898896,8.8581234201,-3.4896871731,-19.2275160692,15.733927428,-3.6957723948,3.4884921775,-12.3845970658,,,,-0.1413717747,-2.2843857464,-1.5822515064,0.4840056249,-1.5213914724,-7.0726091345,1.4345120518,-0.3731758492,1.3402845282
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.191604081,-3.2145242455,-1.4742708881
Costa Rica,,,,,,,,,,,0.8201913137,3.8839654139,5.5868427032,-3.6884310893,2.3003266826,8.8573850832,11.5040148675,0.2643742342,-0.8935796473,-2.9190813561,-16.8898520274,-14.1125903845,17.0873632186,8.1271993243,0.8384066247,10.5871388888,0.3463477653,0.4414001355,0.9892458364,0.4565953506,0.826476594,9.2619540609,5.9257393416,4.7108649683,0.327124171,-2.7248536588,5.1758101759,6.9074643693,-4.5073055579,-0.1418289923,3.1582018393,2.3209410933,0.7269960232,4.0283911659,3.3649911318,6.4233220172,1.0747518707,3.7943129466,-2.6370951921,7.0907946288
Cuba,,,,,,,,,,,6.6747212431,3.0307712726,1.7311611064,-0.524421399,7.4935345871,4.1681407252,7.5990659652,5.8216508843,0.1224515098,-5.96467244,18.6132944575,7.9713043382,5.1039199817,7.2324982928,2.0148365687,-3.4674591817,-2.3757274661,2.5149140145,-1.2355518955,-2.0034827457,-14.7312435384,-13.2649346189,-13.7277725206,2.512836203,0.4196628011,8.2881948625,1.6814291744,-1.477372309,5.2158679967,1.6704296749,3.8468938675,1.6702790134,5.6122208817,5.7653786107,10.0594492012,12.8107796765,3.9189094977,-2.4629066257,4.5106643797,7.3479804585
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,26.7767407372,15.2031570309,5.8242170771,9.3056830848,3.4775989278,-0.8251940884,7.1471362464,1.5411794459,10.0131996561,2.8494570707,3.1886393049,8.2191229109,5.0082858385,5.8981629928,7.3412970631,-0.168432263,5.2416914254,-2.0730757469,2.8801183713,-4.9163263309,-0.5519776129,-0.2312730028,15.8331561911,-6.1660960164,1.2600321931,5.3262821968,3.1734282843,3.1595289905,1.7364518801,2.3220478302,2.568383813,2.9879352489,5.6092741476,-7.9393887716,0.0560298823
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8382972299,3.6832170211,4.8538471677,-1.8335898729,2.3480571595,0.0355251948,2.499176028,4.1723344494,2.8930312914,4.1878312358,5.2997082223,6.2848330315,3.8065474404,5.1454856583,-0.0043006199,-6.148830438,-0.1326601232
Germany,,,,,,,,,,,2.6218835154,3.6389576449,4.3454949299,-0.7799845239,-0.9640146887,5.2941438486,3.4604266013,3.9931907935,2.493829528,-0.8098477868,-1.6016443261,-0.3378724892,2.580180563,3.2415185247,2.7789078221,4.8823722088,1.5828392132,4.0364754902,2.8036483781,4.7290198569,3.2418126412,1.5282950079,-2.1982371768,1.9829795396,1.491859977,0.4207802231,1.0397588313,2.0401444163,1.8507845554,1.4132316032,1.3916544852,-0.0565231325,-0.3427364936,3.3708317978,0.3266914466,4.6031118564,3.1218475824,-0.4930401268,-3.7304038671,3.7363729803
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3357166788,-7.5319859209,-5.7158766662,-5.6401669931,-7.5262356193,-3.1808904629,-3.1772357127,-0.3943598096,0.2022648188,0.4249613568,2.2777174891,8.1052256161,4.3311031386,1.6782733613,,,,,
Denmark,,,,,,,,,,,2.0817450554,4.4063043336,5.2711442932,-5.1169257795,-0.1175876533,5.2899315144,2.2591642608,3.5221182886,1.4865723799,-3.0952444885,-2.5606816999,2.636401323,3.5606842785,3.8624491203,3.6172285095,6.7083095058,0.7410164133,-1.133485976,-0.3881973374,1.1012242983,0.1152153899,3.1718673083,-0.4684304705,5.1831548514,3.1182891305,2.5021377522,2.1102682364,2.0564321117,2.3766271787,1.0696959638,1.1004880095,0.1103832849,0.4012407872,3.6296100737,2.7328521413,4.04522741,-0.9873798229,-1.8842898381,-4.1138678092,3.74626596
Dominican Republic,,,,,,,,,,,0.0870704236,5.6640662941,8.8474905004,3.2904835913,11.3078611712,-9.0240658549,5.9698868866,-1.3531402668,-0.3656950696,7.2222679565,-0.8522560718,-1.9179528062,2.2741565792,-4.0828133307,-10.4529275534,11.5329065469,4.9362365012,0.9360904719,6.9461070951,-7.9097899153,6.0613961881,8.892082935,4.2493936281,3.3148939167,3.3982682344,6.2825398703,7.7325542127,6.862353824,3.1511741763,2.0710954277,0.5663189418,2.5608034304,-5.0226257157,-1.2239900119,8.4404662419,8.1001027575,0.4217764301,3.5001825531,3.3291531063,6.451786739
Algeria,,,,,,,,,,,0.4749855853,17.0693539101,1.4182637505,19.8456605763,0.5851346188,3.4456415921,3.5334938545,6.8265700889,-15.2776662377,27.417137119,12.9561700153,-1.1189158283,7.3343431249,-0.9896034215,1.0443693769,-9.1965784651,-9.0517665765,-5.5166476529,-0.5332652597,-0.0961579817,-4.2460400757,-2.4948338424,-8.248843737,-3.6667072879,-1.3466345919,1.0165832889,4.0410938199,1.9913910528,-1.1189647573,7.8566805045,5.0599720793,1.7882832032,3.8970990967,4.4078071372,4.3806526409,8.5312234195,5.8267292141,-5.0111650081,-2.1350266661,14.2175485499
Ecuador,,,,,,,,,,,3.6245403642,-2.2652858795,1.6256068653,11.3547734082,11.7248162359,3.1907893292,3.1292199613,-0.4777001841,-7.4112441728,4.3826840934,2.9359839711,-4.9580491677,-9.3206945778,-0.0333257835,4.2025137626,0.9592082588,-3.7980288368,-7.9287112033,-1.9157646636,0.9888514752,9.7394101709,5.5467141026,-5.4555973134,1.9365654501,-1.9740627115,-0.6865685298,5.7217319349,1.6827642023,-13.0970551088,-5.851753033,10.4891637418,8.962260743,0.472597416,-0.298168363,2.3514457096,3.1007444173,3.0974675555,12.5281394422,3.1538906033,0.3235149972
"Egypt, Arab Rep.",,,,,,,,,,,-0.1822904323,0.0803558034,-0.1297521232,-5.0336644743,2.3393860283,10.7569395115,5.4209891932,-6.260549532,-14.7014998394,6.6985936732,-1.1911355272,8.6113514192,11.9588955347,1.0007049425,2.7116807736,13.2903153167,4.8444961317,-2.5524499197,2.0519601157,-1.3898193479,5.8131428222,7.6731139777,3.0732836011,4.1645726151,3.4131768136,1.9545301385,6.2765803768,3.2692895764,2.5732858461,2.5146347358,5.1325217624,-0.7928949445,-1.5039579169,-0.6914648777,-2.5167020571,6.6314248548,6.1059943247,-0.0120582711,9.9369303362,2.0093116025
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5158720981,-0.9684487856,8.4986034085,5.6354887899,4.3513741594,-1.829610715,-5.6269285802,5.6079521408,-2.5806769289,-3.332363302,1.9377110341,-6.3725119553,-6.5956805205,-2.8237933782,-11.0882839966,7.7453353016,1.4873344019
