Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0128735644,0.0256861938,0.0768454532,0.1276896679,0.2800697384,0.380800728,1.3318474035,2.8033196254,4.3618923938,7.0850396784,13.624960809,18.1487226903,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.065484797,0.3007112824,1.1597509128,2.7789684886,3.5251111291,5.7062765476,10.7960348323,14.500897243,28.5769538106,31.5274897674,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1.75491225386083E-05,0.0017034483,0.0049667205,0.0096635174,0.0125415989,0.0152637672,0.0371623811,0.0724022619,0.1058116588,0.1553345208,0.219659819,0.3105926569,0.37,0.45,0.54,0.75
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4010876695,1.3974393322,1.8868797702,2.5684613494,4.9150985536,13.9003038881,16.7800752606,19.4586827951,25.4525249254,32.295092289,37.2484617371,43.1053633522,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0066784474,0.0079073991,0.0091153429,0.0644371416,0.2234548417,0.6331678655,0.9424620628,1.496854734,1.8579785936,6.1526497001,6.7254347382,7.4129434854,8.4536366337,9.6000384002,10.8978310455,13,17,20
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0527778616,0.1401138954,0.2790494633,0.5906193834,0.8998674253,1.6379472445,2.5840339791,4.2550038717,6.3197787218,9.1253178886,14.3079239431,26.3259035522,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,2.3187868107,4.6012975659,11.3378684807,22.2975383518,32.9163923634,43.2469835229,53.2992218314,58.9126409695,66.5335994677,67.9026317414,69.3594451244,75.98,75.57,75.18,75.2
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.2780377946,0.570676845,1.8587187851,2.7975940691,3.7348621369,4.6605271988,5.5700997048,9.2325021004,11.0178673082,11.8813690993,12.7503392501,13.6211327334,14.49,15.35,20
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0.0479990086,0.1701248802,0.2490095645,1.2161406183,1.3476202216,1.9395301062,2.6595865939,2.9790698004,4.8932647497,5.4892008028,5.7670045756,6.21,6.7,7.23
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0873553193,0.1742309225,0.2606151595,0.519762001,1.0366091657,1.895168284,4.1236503357,7.3853989566,13.6699830957,21.2936382666,26.8217543509,33.4810948744,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0118368854,0.0400654188,0.0609303331,0.1028309568,0.4163435667,0.4847462985,0.9923444361,1.5878756298,2.5588164807,3.8862213535,6.0794576287,7.5268768449,8.26,10.01,20.07,26.9
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0003479176,0.005648763,0.0275375418,0.0322404432,0.1048954662,0.1536152976,0.2000080603,0.8302840338,1.193057911,1.7167977039,1.831197461,2.7231759731,3.85,4.27,5.44,7.8
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0001383185,0.0006685894,0.0019489419,0.0038031085,0.0062033685,0.0608089192,0.0954249236,0.1755418685,0.4020227487,0.4509603708,0.5088193323,0.542254181,0.637492123,0.7800252791,0.92,0.94,1
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0092175413,0.0355073602,0.051311347,0.2060944605,0.7158270148,0.9217949191,1.3367911665,1.796779883,2.4367811931,3.3080034781,3.7990011388,5.2376911584,6.2050374185,6.88,7.63,9.2
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0163890633,0.0240604205,0.1177024482,0.2301031706,0.2995691447,1.0229932344,1.3541974776,1.8081422034,1.9013653161,2.0571967045,2.2063022375,2.3548887109,2.3032805917,2.45
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0414622921,0.0944237739,0.0974159447,0.1323546651,0.1652604229,0.3211979972,0.520524272,0.8439302846,1.1497896706,1.2791935964,1.5571230594,1.82,2.13,6
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0487888033,0.0482916025,0.1910622421,0.3781743125,0.7496164775,1.3953607789,1.8496346879,3.2218217856,6.8772921442,9.1388373078,10.935025808,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4
